symbol,base_currency,base_currency_desc,close,24h_close_change|5,market_cap_calc
CRYPTO:AIRUSD,AIR,Altair,0.0062203,-2.1965408805031514,
CRYPTO:AIRDROPUSD,AIRDROP,AIRDROP2049,0.00036498,1.0269327649680229,427026.6
CRYPTO:AIRIUSD,AIRI,aiRight,0.00038698,1.8180861420264687,99168.4874037
CRYPTO:AIRTNTUSD,AIRTNT,Tenti,5.3217e-05,-7.8521468320825045,206612.545151808
CRYPTO:AISWUSD,AIS,AISwap,1.6099e-10,-6.958330925273069,1609.9
CRYPTO:AITPUSD,AIT,AIT Protocol,0.019969,7.858917575888524,5862966.000420597
CRYPTO:AITAUSD,AIT,AiMalls,1.0749,5.361693785532245,217006.18649999998
CRYPTO:AITECHUSD,AITECH,Solidus Ai Tech,0.059954,-3.8887284627971934,93247840.717722
CRYPTO:AIVAUSD,AIVA,AI Voice Agents,0.00063897,-1.5763895296976331,151071.04388073
CRYPTO:AIXALUSD,AIX,ALIENX,0.0031108,-0.12200603608810069,388850
CRYPTO:AIXBTUSD,AIXBT,aixbt by Virtuals,0.2195,0.036444808892531884,202874372.07431856
CRYPTO:AIXCBUSD,AIXCB,aixCB by Virtuals,0.015999,-8.209035884133158,15895116.861102
CRYPTO:AJUNUSD,AJUN,Ajuna Network,0.0012989,0.9874047582024599,243924.5500912403
CRYPTO:AKAUSD,AKA,Akasha by Bloomverse,0.0031078,1.5356466052407935,3107772.599988066
CRYPTO:AKINUSD,AKI,Aki Network,0.0092925,6.300833933903023,18585000
CRYPTO:AKITAUSD,AKITA,Akita Inu,6.2737e-08,-6.701069256279466,4270604.280881141
CRYPTO:AKITABUSD,AKITA,AKITA-BSC,0.00028499,-3.714017311950619,59968.3225245
CRYPTO:AKITAXUSD,AKITAX,Akitavax,4.0498e-06,0.22272817263906666,29590.538668016598
CRYPTO:AKROUSD,AKRO,Akropolis,0.00018139,-1.488079074566877,804684.0647714068
CRYPTO:AKTUSD,AKT,Akash Network,1.7396,-1.9551498760423682,431917968.3925209
CRYPTO:AKTIOUSD,AKTIO,RAYN,0.18121,-9.390469523476169,12769582.75062
CRYPTO:AKUMAUSD,AKUMA,Akuma Inu,8.0256e-06,10.175168853989344,5350399.99999465
CRYPTO:ALUSD,AL,ArchLoot,0.11999,-3.637969804047547,83088831.48766705
CRYPTO:ALAUSD,ALA,Alanyaspor Fan Token,0.045229,-0.4589608769271853,60634.811521999996
CRYPTO:ALCHUSD,ALCH,Alchemist AI,0.13999,0.21476125706922095,118991500
CRYPTO:ALCXUSD,ALCX,Alchemix,11.024,-0.027205949034189846,26759419.293646198
CRYPTO:ALDUSD,ALD,AladdinDAO,0.042948,0.6798255895728786,3037244.035644
CRYPTO:ALEUSD,ALE,Ailey,0.54537,0.17817781043350964,186637733.33333334
CRYPTO:ALEOUSD,ALEO,Aleo,0.24899,-4.27143406382161,90530514.1876058
CRYPTO:ALEPHUSD,ALEPH,Aleph.im,0.069477,4.0059280549692335,17176137.43797521
CRYPTO:ALEXUSD,ALEX,ALEX Lab,0.048188,-6.084583901773533,29225534.2073324
CRYPTO:ALGOUSD,ALGO,Algorand,0.23752,-3.946623534169022,2042577744.5260675
CRYPTO:ALIUSD,ALI,Artificial Liquid Intelligence,0.0061572,-5.24760702963898,50426443.458357714
CRYPTO:ALICEUSD,ALICE,MyNeighborAlice,0.56555,4.134909238189925,56555000
CRYPTO:ALLINUSD,ALLIN,All in,0.26969,-11.083677196780075,258890.91817662076
CRYPTO:ALMUSD,ALM,Alium Finance,0.0018659,-0.7711125292490946,410501.993026
CRYPTO:ALONUSD,ALON,Alon,0.0061097,-7.731173551724662,6097246.8550974
CRYPTO:ALORUSD,ALOR,Algorix,0.073126,0.7189686518649037,912530.2132499999
CRYPTO:ALPAUSD,ALPA,Alpaca City,0.0032628,0.6850583225328641,22730.308924920002
CRYPTO:ALPACAUSD,ALPACA,Alpaca Finance,0.21489,2.7330498351569603,32595894.278646275
CRYPTO:ALPHUSD,ALPH,Alephium,0.44858,-1.0836699110551922,49304296.02723021
CRYPTO:ALPHA3USD,ALPHA,Alpha,0.00040618,-2.0733883022325066,406179.4455643
CRYPTO:ALPHAUSD,ALPHA,Stella,0.029707,-3.3132628152969836,27389854
CRYPTO:ALPHRUSD,ALPHR,Alphr finance,0.011204,-3.6463708290333594,19372.66834
CRYPTO:ALPINEUSD,ALPINE,Alpine F1 Team Fan Token,1.0719,-1.1982671213936678,16630372.240218794
CRYPTO:ALTAPUSD,ALT,AptosLaunch Token,0.0046088,0.30250930379333285,222282.424
