symbol,name,close,change,volume,market_cap_basic
NASDAQ:ACAD,ACAD,17.44,3.012404016538698,2855049,2918790700
OTC:ACAN,ACAN,0.0001,0,208,2439
OTC:ACAZF,ACAZF,12.44,-1.112877583465823,9963,221711256.6498856
NASDAQ:ACB,ACB,4.85,2.1052631578947296,757577,266187644.65875366
OTC:ACBD,ACBD,1.43,-3.378378378378381,277,59978491.03623189
OTC:ACCMF,ACCMF,9.79,8.717379233759004,500,57681063.840909086
NYSE:ACCO,ACCO,3.73,0.26881720430106953,542015,336069466.99999994
OTC:ACCR,ACCR,0.0022,69.23076923076925,9594,663300
AMEX:ACCS,ACCS,8.9,-0.8908685968819607,4234,34244912
OTC:ACCYY,ACCYY,10.207,-2.5119388729703904,83665,12444074802.09363
OTC:ACDBF,ACDBF,0.0216,-0.46082949308755483,525,1120716.9504
NASDAQ:ACDC,ACDC,4.4,10.691823899371075,1000240,704785135
OTC:ACDSF,ACDSF,1.88,0.266666666666661,3729,8932619339.0247
OTC:ACDVF,ACDVF,12.59,13.21942446043166,155449,4278574775.758267
OTC:ACDXF,ACDXF,0.1,0,600,1858040
NYSE:ACEL,ACEL,11.4,0.17574692442881873,267015,964910660
AMEX:ACES,ACES,24.15,2.7659574468085046,45161,
NASDAQ:ACET,ACET,0.6099,27.487458193979936,3976634,50444600
OTC:ACFL,ACFL,0.0021,90.90909090909088,245,16344.3
OTC:ACFN,ACFN,17.75,-0.5602240896358622,5208,44217555
OTC:ACGBY,ACGBY,15.41,1.4483212639894711,35225,261994759878.15518
NASDAQ:ACGL,ACGL,94.54,-0.021150592216577856,1278394,35429292343
NASDAQ:ACGLN,ACGLN,17.045,0.14688601645124638,29192,35429292343
NASDAQ:ACGLO,ACGLO,20.51,-0.09741841207988101,17481,35429292343
AMEX:ACGR,ACGR,53.2924,-0.21252333543672502,328,
OTC:ACGX,ACGX,0.07375,-13.23529411764707,1500,44327
OTC:ACGYF,ACGYF,15.925,-0.46874999999999556,900,4709981071.430888
NASDAQ:ACHC,ACHC,23.84,-1.5689512799339347,1574132,2196326948
OTC:ACHFF,ACHFF,1.24,-1.8987341772151916,19890,81370498.51162791
NYSE:ACHR,ACHR,8.81,0.5707762557077707,14535398,4836781105
NASDAQ:ACHV,ACHV,2.35,-3.29218106995885,128717,81509911
NYSE:ACI,ACI,22.47,0.6720430107526818,4399102,12937099362.000002
NASDAQ:ACIC,ACIC,11.16,-6.375838926174494,434141,539624035
CBOE:ACIO,ACIO,38.86,-0.17980991523246925,160962,
NASDAQ:ACIU,ACIU,1.68,1.204819277108435,69059,166224454
NASDAQ:ACIW,ACIW,46.56,-3.9207593891869554,1424140,4884127875
OTC:ACIXF,ACIXF,0.0281,22.17391304347826,3500,29891200.806018524
OTC:ACKDF,ACKDF,4.68,0.32154340836012174,1017,7898641358.75862
OTC:ACKRF,ACKRF,0.067,-4.285714285714289,70000,31008827.588888895
AMEX:ACLC,ACLC,66.273,-0.025644893649132774,4816,
OTC:ACLHD,ACLHD,0.0405,-15.625,2224,1052632.0285714285
OTC:ACLLF,ACLLF,36.435,-1.0052981931802674,2594,4101002643.5628333
OTC:ACLLY,ACLLY,55.49,-0.9637694092450457,1489,5205219206.26743
NYSE:ACLO,ACLO,50.03,-0.05992808629644654,3,
NASDAQ:ACLS,ACLS,57.66,-2.038735983690117,552804,1852589022.0000005
NASDAQ:ACLX,ACLX,57.55,2.292925702097403,1235293,3171390814
NYSE:ACM,ACM,104.65,0.26827632461435386,559752,13845259395
NASDAQ:ACMR,ACMR,22.19,-1.069995541685236,1572126,1417153301.0000002
OTC:ACMTA,ACMTA,35,1.9219569015725,100,40467000
NYSE:ACN,ACN,307.9,-0.31727531727532315,1844518,192753345502
NASDAQ:ACNB,ACNB,42.84,-0.23288309268745766,14017,451650610
OTC:ACNDF,ACNDF,0.752,-4.810126582278485,1148,1014767478.137436
OTC:ACNFF,ACNFF,24.44,-11.927927927927923,130,723164195.5954648
NASDAQ:ACNT,ACNT,12.86,0.46874999999999,35044,129048487.99999999
NASDAQ:ACOG,ACOG,7.43,0.40540540540539677,20863,119027012.99999999
NASDAQ:ACON,ACON,7.1,3.649635036496351,10110,4134834
OTC:ACOPF,ACOPF,5.35,2.8846153846153744,3015,3873502369.016484
OTC:ACOPY,ACOPY,5.085,10.543478260869572,186,3888510561.65337
NYSE:ACP,ACP,5.73,0.3502626970227752,482184,718948830
NYSE:ACP/PA,ACP/PA,21.34,-0.14038371548900858,606,
OTC:ACPS,ACPS,0.4,0,12500,13140515
NYSE:ACR,ACR,18.42,-0.05425935973954427,33512,136201048
NYSE:ACR/PC,ACR/PC,24.7901,-0.3212706071572259,7046,136201048
NYSE:ACR/PD,ACR/PD,20.825,-0.5966587112171837,3303,136201048
NYSE:ACRE,ACRE,4.84,0.41493775933609073,529216,266225912
OTC:ACRL,ACRL,0.0015,15.38461538461539,868542,1729137
NASDAQ:ACRS,ACRS,1.26,-3.8167938931297747,524178,136434363.99999997
NASDAQ:ACRV,ACRV,1.16,-1.6949152542372898,641004,36371781
OTC:ACSAF,ACSAF,63.85,0.3851898435657646,311,16639705719.1643
OTC:ACSAY,ACSAY,12.65,0.4765687053216878,31381,16471372097.31801
CBOE:ACSI,ACSI,59.6925,0.07997344278127527,415,
NASDAQ:ACT,ACT,36.13,-0.8779149519890268,393078,5421895008.000001
NASDAQ:ACTG,ACTG,3.77,6.497175141242938,455457,362244355.99999994
NASDAQ:ACTU,ACTU,10.35,4.545454545454538,23090,202152422.25
AMEX:ACTV,ACTV,29.9408,0.029065785561323932,4108,
OTC:ACTX,ACTX,0.0001,0,381,5190.150000000001
AMEX:ACU,ACU,37.87,-1.1485251892456403,9329,143553388.00000003
OTC:ACUR,ACUR,0.02,1.010101010101004,6800,1320036
OTC:ACUT,ACUT,0.6,9.09090909090908,1372,7260321
NYSE:ACV,ACV,21.28,1.6236867239732562,34562,220758720
NYSE:ACVA,ACVA,16.67,1.770451770451787,2550545,2851650297
AMEX:ACVF,ACVF,43.5689,-0.17962164899089297,3212,
AMEX:ACVT,ACVT,25.4704,0.04674273818174946,70000,
NASDAQ:ACWI,ACWI,119.13,0.13448768597125038,1836548,
CBOE:ACWV,ACWV,117.01,0.1283587198357057,51854,
NASDAQ:ACWX,ACWX,57.9,0.4859423811176695,1843526,
OTC:ACXIF,ACXIF,149.99,5.626760563380288,1,8196495522.988165
NASDAQ:ACXP,ACXP,0.36,-4.787093361544566,134054,8063105.000000001
NASDAQ:ADAG,ADAG,1.6,0,7252,75375289
NASDAQ:ADAP,ADAP,0.2926,-2.4666666666666544,650508,74888710
NASDAQ:ADBE,ADBE,383.28,-0.1849006484543963,2031316,163353940158
NASDAQ:ADBG,ADBG,14.01,-0.6382978723404246,5456,
OTC:ADBRF,ADBRF,1.2,4.112441436751682,100,135769172.99999997
NYSE:ADC,ADC,75.17,0.25340090690850586,1261738,8270093981
NYSE:ADC/PA,ADC/PA,17.3946,-0.031034482758609615,4464,8270093981
OTC:ADCOF,ADCOF,0.212,6.908724155320217,4000,12833020.54736842
NYSE:ADCT,ADCT,1.27,-0.7812500000000007,262632,125956428.00000001
OTC:ADCV,ADCV,0.059,0,100,
NASDAQ:ADD,ADD,0.9,-14.285714285714288,318269,20729202
OTC:ADDDF,ADDDF,237.91,1.254455498217797,81,42478609783.26622
OTC:ADDHY,ADDHY,19.25,37.9730504587156,200,9515339489.1776
OTC:ADDYY,ADDYY,117.668,0.48505550811273446,39950,41892909905.03352
NASDAQ:ADEA,ADEA,13.34,-1.2583271650629158,520313,1447388083
CBOE:ADFI,ADFI,8.4399,0.35552913198572644,10442,
OTC:ADFJF,ADFJF,4.93,0.5096839959225171,100,140276727.82559773
